,0
551,musica
552,alto
553,luna
554,escondida
555,medias
556,tunel
557,cuando
558,nariz
559,videojuego
560,estacionamiento
561,limpio
562,verano
563,reyes
564,espalda
565,correo
566,escuchar
567,gusano
568,lento
569,dulce
570,buenisimo
571,quiero
572,coca
573,sirve
574,facil
575,cinto
576,canasta
577,por
578,menos
579,contar
580,no
581,biblioteca
582,otro
583,hamburguesa
584,despues
585,hoy
586,colectivo
587,ultimo
588,estas
589,piñata
590,dias
591,cantar
592,hermana
593,pintura
594,delgado
595,azucar
596,maestro
597,bañar
598,amiga
599,cancha
600,taxi
601,bien
602,fuegos
603,gusta
604,lengua
605,pantalones
606,rueda
607,poco
608,burro
609,escuela
610,rotonda
611,comisaria
612,corto
613,gordo
614,panaderia
615,Neurólogo
616,camping
617,raiz
618,hombre
619,camioneta
620,ruedas
621,cerebral
622,sortear
623,jirafa
624,arbol
625,poner
626,equivocado
627,entre
628,falda
629,flojo
630,Psicopedagogía
631,comer
632,tablero
633,cabra
634,llave
635,barriga
636,chaleco
637,dificil
638,niños
